3.45,-0.75,-1.89
3.67,-1.17,-2.59
3.81,-1.55,-2.94
4.00,-1.86,-2.93
4.32,-2.16,-2.64
4.11,-2.50,-1.63
3.67,-2.70,-0.56
3.55,-3.00,-0.06
3.64,-3.34,0.63
3.93,-3.78,1.17
4.33,-4.36,1.90
5.24,-5.13,3.22
7.02,-6.09,4.83
9.90,-7.03,6.16
12.59,-7.56,7.46
13.99,-7.56,9.22
13.81,-7.16,10.74
11.63,-6.51,12.16
8.12,-5.96,13.73
5.31,-5.34,14.99
3.37,-4.80,15.16
1.53,-4.35,14.18
-0.33,-3.83,12.86
-2.27,-3.56,11.57
-3.86,-3.55,10.31
-4.81,-3.56,9.19
-5.13,-3.60,8.26
-5.30,-3.64,7.52
-5.47,-3.67,6.83
-5.41,-3.69,6.12
-5.23,-3.59,5.59
-5.39,-3.47,5.22
-5.46,-3.38,4.94
-5.26,-3.27,4.59
-5.00,-3.24,4.32
-4.80,-3.16,4.00
-4.78,-3.17,3.47
-5.04,-2.95,2.17
-5.00,-2.80,-0.66
-4.04,-2.79,-3.61
-2.88,-2.55,-4.04
-2.53,-2.30,-2.21
-2.61,-1.93,-0.14
-2.49,-1.47,0.96
-2.35,-0.97,1.74
-2.32,-0.59,2.75
-2.11,-0.06,3.56
-1.89,0.41,3.62
-1.44,0.92,3.54
-1.02,1.63,3.79
-0.79,2.30,4.43
-0.51,2.84,5.70
-0.02,3.14,7.48
0.47,3.26,9.31
0.80,3.19,10.74
1.26,3.02,11.49
1.78,2.90,11.51
1.93,2.77,11.21
1.53,2.87,11.15
1.23,3.12,11.59
1.47,3.68,12.13
2.24,4.24,12.54
3.19,4.30,12.73
4.24,3.91,12.92
4.37,3.49,14.68
4.92,3.74,17.73
4.83,3.63,20.64
3.44,3.16,23.17
1.53,2.53,25.47
0.75,1.98,27.21
1.45,1.42,27.58
2.73,0.93,26.93
3.68,0.42,25.75
3.92,-0.02,24.84
3.73,-0.46,24.20
3.43,-0.84,23.61
3.08,-1.15,22.99
2.91,-1.34,21.80
2.94,-1.20,20.60
2.94,-0.84,19.47
2.87,-0.22,18.44
2.28,0.92,18.00
0.54,1.79,18.03
-1.50,2.01,18.31
-2.42,2.08,18.63
-2.11,2.27,18.50
-1.82,2.45,18.29
-1.37,2.70,18.17
-0.89,2.84,17.91
-1.28,3.02,17.85
-1.57,3.04,17.92
-0.91,2.94,18.00
0.51,3.01,17.89
1.94,2.81,17.64
2.48,2.70,17.36
1.98,2.91,16.78
1.16,3.23,15.26
0.89,3.55,12.95
0.63,3.78,11.01
0.54,3.66,9.60
0.43,3.41,8.58
