-6.19,10.64,15.37
-6.40,10.76,14.80
-6.21,11.08,14.00
-6.00,11.23,13.24
-5.57,11.25,12.63
-4.86,11.26,12.28
-3.66,11.30,11.98
-2.05,11.32,11.87
-0.76,11.34,12.28
0.52,11.25,12.17
1.19,10.90,11.86
1.15,10.51,11.36
0.68,9.76,10.83
0.16,9.07,10.09
-0.52,8.44,9.27
-0.80,7.63,7.91
-1.18,6.69,6.61
-1.41,5.60,5.11
-0.82,4.78,3.14
0.02,3.92,1.35
0.58,3.13,0.31
1.37,2.27,-0.44
2.08,1.58,-0.63
2.65,0.84,-0.56
3.03,0.21,-0.47
3.56,-0.42,-0.83
3.97,-1.26,-1.20
3.51,-1.73,-0.70
4.11,-1.97,-1.07
4.88,-2.30,-1.18
5.27,-2.56,-0.35
5.73,-2.61,0.89
6.27,-2.67,2.61
6.84,-2.70,4.33
7.44,-2.66,5.97
8.06,-2.52,7.22
8.73,-2.13,7.97
9.06,-1.73,8.49
8.97,-1.35,9.11
8.47,-1.00,9.96
7.62,-0.78,10.92
6.43,-0.58,11.96
5.17,-0.52,12.61
4.04,-0.48,12.71
3.26,-0.30,12.21
2.58,-0.03,11.54
1.45,0.33,11.17
-0.71,0.56,11.37
-3.71,0.47,11.70
-6.93,0.15,11.81
-9.65,-0.56,11.54
-11.59,-1.01,10.69
-12.73,-1.78,9.45
-13.16,-2.16,8.02
-13.23,-2.38,6.73
-13.12,-2.74,5.43
-12.95,-3.09,4.33
-12.53,-3.37,3.53
-11.75,-3.54,2.96
-10.75,-3.57,2.73
-9.51,-3.43,2.65
-8.52,-3.22,2.60
-8.03,-3.04,2.62
-8.03,-2.90,2.62
-8.27,-2.97,2.66
-8.41,-2.79,2.84
-8.19,-2.78,3.16
-7.31,-2.49,3.39
-6.42,-2.39,3.70
-5.34,-2.22,3.66
-4.69,-2.23,3.65
-4.03,-2.16,3.24
-3.47,-2.15,2.76
-2.85,-2.05,2.16
-2.25,-1.77,1.53
-1.59,-1.36,0.98
-0.71,-0.88,0.44
0.30,-0.10,-0.08
1.30,0.86,-0.20
1.75,1.68,0.76
1.64,2.27,2.53
1.27,2.76,4.13
0.56,2.98,4.98
-0.25,3.20,4.89
-1.04,3.36,4.24
-1.55,3.67,3.33
-1.81,4.13,2.60
-1.70,4.82,2.24
-1.26,6.00,2.38
-0.37,7.13,2.93
0.50,8.12,4.44
1.09,9.17,6.68
1.40,10.05,8.69
1.24,10.32,10.45
0.30,10.07,12.14
-1.18,9.35,13.53
-3.03,8.67,14.43
-5.04,8.77,14.41
-6.49,9.25,13.02
-7.31,9.97,11.66
-7.86,11.07,11.57
