-2.93,4.57,2.35
-4.73,4.75,1.37
-7.03,4.83,0.23
-9.58,5.05,-1.08
-12.50,4.92,-2.16
-15.40,4.70,-2.39
-18.16,4.57,-1.97
-20.36,4.56,-1.66
-21.31,5.06,-1.91
-22.03,5.62,-1.53
-23.36,6.40,-0.68
-25.05,7.27,-0.28
-26.95,7.90,0.14
-28.23,8.62,0.90
-27.88,9.47,1.22
-26.11,10.21,0.74
-23.72,10.82,0.14
-21.14,11.41,0.21
-18.37,11.81,0.55
-15.72,12.16,1.44
-13.38,12.24,3.06
-11.01,12.30,4.77
-8.73,12.18,6.09
-6.30,12.01,6.93
-3.39,11.48,7.31
-0.65,10.87,7.58
1.86,10.07,8.04
5.27,9.41,8.37
8.38,8.37,9.26
11.69,7.43,11.16
15.78,6.68,13.70
19.49,5.71,17.51
22.52,4.84,21.53
26.17,3.80,24.20
30.02,2.86,25.14
32.76,2.23,25.13
30.99,1.52,26.02
28.39,0.78,24.33
26.76,0.74,20.31
25.20,1.23,15.89
23.52,2.20,12.42
21.23,3.61,9.33
17.55,4.98,7.40
13.80,6.04,6.62
9.88,7.22,6.86
6.21,8.13,8.09
3.17,8.67,9.91
1.08,9.00,11.46
0.13,9.54,12.88
-0.01,10.45,12.55
-1.36,11.12,11.31
-3.94,11.87,9.91
-8.20,12.11,8.13
-15.98,12.38,9.40
-21.24,11.90,7.91
-25.54,11.03,5.66
-28.93,10.07,4.05
-29.16,9.12,4.58
-26.27,8.60,5.77
-22.13,8.40,5.04
-18.48,7.91,2.76
-15.38,7.86,0.56
-13.49,9.11,-1.33
-18.48,8.47,-2.87
-24.18,8.42,-5.39
-28.46,8.09,-6.65
-30.44,8.32,-5.38
-29.34,8.93,-3.35
-26.31,9.75,-2.69
-23.24,10.49,-3.67
-21.10,11.08,-5.42
-18.79,11.82,-6.53
-16.06,12.88,-6.99
-13.02,14.30,-5.61
-9.96,16.12,-1.62
-6.60,17.59,3.15
-2.48,18.54,7.13
1.55,19.07,10.47
5.82,19.26,13.92
8.74,18.34,19.15
8.90,16.75,24.13
8.93,15.09,25.90
9.52,13.51,26.00
11.16,11.93,25.81
13.03,10.19,25.08
14.48,8.64,24.04
14.76,7.13,22.42
14.26,5.87,20.64
13.01,4.94,19.85
11.60,4.13,18.84
10.60,3.38,16.43
10.00,2.76,14.02
9.34,2.17,11.90
9.38,2.24,11.03
8.75,2.22,10.95
7.34,2.23,12.44
5.52,2.35,14.88
4.11,2.23,16.73
3.95,2.88,17.69
4.55,2.75,17.69
4.75,2.80,17.67
